last,first,chamber,party,district,days_regular,days_special,regular,special,total,
Klippert, Brad,House,GOP,8,105,12,12600,1440,14040,
Muri, Dick,House,GOP,28,105,12,12600,1440,14040,
Dye, Mary,House,GOP,9,105,11,12600,1320,13920,
Kraft, Vicki,House,GOP,17,105,11,12600,1320,13920,
Haler, Larry,House,GOP,8,105,10,12600,1200,13800,
Clibborn, Judy,House,Dem,41,105,10,12600,1200,13800,
Kirby, Steve,House,Dem,29,105,10,12600,1200,13800,
Shea, Matt,House,GOP,4,105,10,12600,1200,13800,
Young, Jesse,House,GOP,26,105,10,12600,1200,13800,
Hudgins, Zack,House,Dem,11,102,12,12240,1440,13680,
Orcutt, Ed,House,GOP,20,105,9,12600,1080,13680,
Peterson, Strom,House,Dem,21,105,9,12600,1080,13680,
Hansen, Drew,House,Dem,23,105,8,12600,960,13560,
Irwin, Morgan,House,GOP,31,105,7,12600,840,13440,
Morris, Jeff,House,Dem,40,101,11,12120,1320,13440,
Sells, Mike,House,Dem,38,105,7,12600,840,13440,
Valdez, Javier,House,Dem,46,0,7,0,840,840,
Gregerson, Mia,House,Dem,33,105,4,12600,480,13080,
Farrell, Jessyn,House,Dem,46,105,3,12600,360,12960,
Chapman, Mike,House,Dem,24,105,1,12600,120,12720,
Hargrove, Mark,House,GOP,47,105,1,12600,120,12720,
Nealey, Terry,House,GOP,16,105,0,12600,0,12600,
Orwall, Tina,House,Dem,33,105,0,12600,0,12600,
Reeves, Kristine,House,Dem,30,105,0,12600,0,12600,
Walsh, Jim,House,GOP,19,105,0,12600,0,12600,
Lovick, John,House,Dem,44,103,0,12360,0,12360,
Kilduff, Christine,House,Dem,28,100,0,12000,0,12000,
Pellicciotti, Mike,House,Dem,30,100,0,12000,0,12000,
Koster, John,House,GOP,39,91,8,10920,960,11880,
DeBolt, Richard,House,GOP,20,105,13,10500,1235,11735,
Chopp, Frank,House,Dem,43,105,0,11550,0,11550,
Maycumber, Jacquelin,House,GOP,7,81,15,9720,1800,11520,
Doglio, Beth,House,Dem,22,88,7,10680,720,11400,
Fey, Jake,House,Dem,27,75,6,9000,720,9720,
Graves, Paul,House,GOP,5,77,0,9240,0,9240,
Griffey, Dan,House,GOP,35,77,0,9240,0,9240,
Dolan, Laurie,House,Dem,22,75,0,9000,0,9000,
Wilcox, J.T.,House,GOP,2,75,0,9000,0,9000,
Slatter, Vandana,House,Dem,48,105,0,12600,0,12600,
Short,Shelly,House,GOP,7,23,,2760,,2760,
